Corrente do Motor;Taxa da Balanca
59,4;8274,896
52,8;8274,896
52,8;7531,815
50,7;7531,815
50,7;7531,815
50,7;6890,296
46,9;6890,296
46,9;5979,308
44,4;5979,308
44,4;4741,18
36,5;4741,18
36,5;3920,014
32,3;3920,014
32,3;3920,014
32,3;3327,235
30,3;3327,235
30,3;2643,61
29,8;2643,61
29,8;2139,632
30,3;2139,632
30,3;1492,499
29,6;1492,499
29,6;1492,499
29,6;1101,31
29,3;1101,31
29,3;2105,438
32;2105,438
32;3849,586
38,8;3849,586
38,8;3849,586
53,7;5677,176
53,7;5677,176
53,7;7594,59
62,3;7594,59
62,3;9619,434
81,2;9619,434
81,2;11184,19
89,8;11184,19
89,8;12208,22
84,7;12208,22
84,7;12208,22
84,7;12319,99
82,2;12319,99
82,2;11460,29
68,9;11460,29
68,9;9230,796
54,3;9230,796
54,3;6173,754
39,2;6173,754
39,2;6173,754
39,2;4314,266
30;4314,266
30;4390,054
30,9;4390,054
30,9;5783,84
37,4;5783,84
37,4;7692,579
59,8;7692,579
59,8;9589,578
75,1;9589,578
75,1;9589,578
75,1;11145,15
90;11145,15
90;11562,88
80,1;11562,88
80,1;10746,81
72,3;10746,81
72,3;9377,523
72,3;9377,523
44,9;9377,523
44,9;9607,44
68,2;9607,44
68,2;10018,53
69,7;10018,53
69,7;9786,32
65,7;9786,32
65,7;9454,333
51,2;9454,333
51,2;9454,333
51,2;8386,41
55,2;8386,41
55,2;7292,968
42,2;7292,968
42,2;6915,304
46,6;6915,304
46,6;7264,389
53;7264,389
53;7264,389
53;7705,082
53,9;7705,082
53,9;7995,73
54,3;7995,73
54,3;7797,201
50,6;7797,201
50,6;7797,201
50;7453,731
50;7453,731
48,4;7098,267
48,4;7098,267
48,4;6469,506
41;6469,506
41;5634,561
39,7;5634,561
39,7;4641,15
36,3;4641,15
36,3;4641,15
36,3;3713,83
33,5;3713,83
33,5;3347,394
32,6;3347,394
32,6;2900,831
33,2;2900,831
33,2;1844,39
31,1;1844,39
31,1;1844,39
31,1;947,1815
28,3;947,1815
28,3;1321,784
27,8;1321,784
27,8;2599,209
29;2599,209
29;3903,684
31,5;3903,684
31,5;5469,205
40,8;5469,205
40,8;5469,205
40,8;6992,112
51,4;6992,112
51,4;8362,423
60,9;8362,423
60,9;9451,781
61,8;9451,781
61,8;10414,06
68;10414,06
68;10414,06
68;11168,37
75,1;11168,37
75,1;11441,92
72,3;11441,92
72,3;11571,3
68,6;11571,3
68,6;11571,3
68,3;11775,18
68,3;11775,18
68,3;11945,13
74,1;11945,13
74,1;11960,95
73,2;11960,95
73,2;11378,64
67,8;11378,64
67,8;9648,269
63,4;9648,269
63,4;10382,16
55,9;10382,16
55,9;10382,16
55,9;10697,05
72;10697,05
72;11145,66
71;11145,66
71;11012,2
62,8;11012,2
62,8;11012,2
60,7;10134,89
60,7;10134,89
60,7;9222,376
52,7;9222,376
52,7;9500,265
55,6;9500,265
55,6;10566,91
73,9;10566,91
73,9;10566,91
87,9;11279,12
87,9;11279,12
87,9;11071,4
73,6;11071,4
73,6;9599,019
67,2;9599,019
67,2;7456,793
41,6;7456,793
41,6;6820,632
41,6;6820,632
39,6;6820,632
39,6;7838,796
55,2;7838,796
55,2;9896,303
76,6;9896,303
76,6;11373,53
94,4;11373,53
94,4;11983,67
89,7;11983,67
89,7;11983,67
89,7;11556,5
