Corrente do Motor;Taxa da Balanca
48,3;6379,173
48,3;7769,897
58,9;7769,897
58,9;7769,897
83,9;8371,099
83,9;8371,099
83,9;8224,116
60,7;8224,116
60,7;7118,681
39,5;7118,681
39,5;5332,939
34,3;5332,939
34,3;4756,236
34,5;4756,236
34,5;4756,236
36,6;5746,33
36,6;5746,33
36,6;7172,779
64;7172,779
64;7968,937
87,9;7968,937
87,9;7961,792
78,5;7961,792
78,5;7961,792
56,4;8027,117
56,4;8027,117
56,4;7311,086
43,8;7311,086
43,8;5728,978
38,4;5728,978
38,4;4968,29
34,3;4968,29
34,3;4968,29
42,6;5200,757
42,6;5200,757
42,6;5665,183
48;5665,183
48;6013,502
48,5;6013,502
48,5;6447,305
45,1;6447,305
45,1;6447,305
44,9;7532,326
44,9;7532,326
44,9;8339,456
72,2;8339,456
72,2;8448,418
75,1;8448,418
75,1;7725,751
44;7725,751
44;7725,751
36,9;6122,208
36,9;6122,208
36,9;4111,144
30,4;4111,144
30,4;3963,14
31,4;3963,14
31,4;5146,914
33,5;5146,914
33,5;5146,914
58,1;5725,405
58,1;5725,405
58,1;5717,494
44,8;5717,494
44,8;5218,109
38,6;5218,109
38,6;4097,108
35,7;4097,108
35,7;4097,108
32,6;3452,527
32,6;3452,527
32,6;3140,444
34,8;3140,444
34,8;3159,582
34,7;3159,582
34,7;3295,337
35,2;3295,337
35,2;3295,337
37,1;3435,685
37,1;3435,685
37,1;3431,857
34,7;3431,857
34,7;3683,464
39,8;3683,464
39,8;3483,404
39,9;3483,404
39,9;3483,404
36,1;2759,207
36,1;2759,207
36,1;2664,025
30,4;2664,025
30,4;3838,868
34,2;3838,868
34,2;5600,623
54,4;5600,623
54,4;5600,623
85,3;7358,804
85,3;7358,804
85,3;7974,295
84;7974,295
84;7691,557
53,6;7691,557
53,6;6971,442
45,2;6971,442
45,2;6971,442
46,1;6734,126
46,1;6734,126
46,1;6959,449
51;6959,449
51;7086,018
53;7086,018
53;7031,665
52,9;7031,665
52,9;7227,897
46,8;7227,897
46,8;7227,897
47,6;7475,677
47,6;7475,677
47,6;7491,242
54,1;7491,242
54,1;7016,609
47,8;7016,609
47,8;6433,271
41,4;6433,271
41,4;6433,271
40,2;5971,397
40,2;5971,397
40,2;5989,515
41,6;5989,515
41,6;6209,479
44,4;6209,479
44,4;6477,417
48,5;6477,417
48,5;6477,417
50,6;6767,811
50,6;6767,811
50,6;7246,271
50,8;7246,271
50,8;8226,923
49;8226,923
49;8454,798
61,2;8454,798
61,2;8176,908
51,2;8176,908
51,2;8176,908
43,4;7218,456
43,4;7218,456
43,4;5764,192
38,4;5764,192
38,4;4735,822
34,4;4735,822
34,4;4983,6
34,3;4983,6
34,3;4983,6
40,9;5884,892
40,9;5884,892
40,9;7009,465
44,8;7009,465
44,8;7739,276
61,7;7739,276
61,7;7880,39
60,5;7880,39
60,5;7880,39
55,9;7283,271
55,9;7283,271
55,9;6341,151
38,3;6341,151
38,3;5357,437
35,9;5357,437
35,9;5632,52
37,5;5632,52
37,5;5632,52
41,3;6819,356
41,3;6819,356
41,3;7714,778
65,6;7714,778
65,6;8319,553
63,1;8319,553
63,1;7987,82
46,7;7987,82
